ts,day,flags,ret,sigma,prev_close,open,high,low,close,volume,vwap,bar_count,is_filled
2015-03-18 14:00,2015-03-18,sigma_return,0.00412759,0.000250004,106.38,106.38,106.89,106.36,106.82,475100,106.588,1126,False
2015-04-29 14:02,2015-04-29,sigma_return,0.00329068,0.000370268,109.22,109.23,109.58,109.22,109.58,335300,109.393,954,False
2015-06-10 11:13,2015-06-10,sigma_return,0.00283299,0.000292835,109.27,109.27,109.58,109.27,109.58,476331,109.415,1728,False
2015-06-17 14:01,2015-06-17,sigma_return,0.00211387,0.000236484,108.69,108.69,108.98,108.68,108.92,555129,108.859,1320,False
2015-08-24 09:30,2015-08-24,bar_range,,0.000799895,,94.23,94.23,84.74,88.46,2.4687e+06,89.899,4725,False
2015-08-24 09:31,2015-08-24,sigma_return;bar_range,0.00967495,0.000799895,88.46,88.92,89.36,86.55,89.32,1.24812e+06,88.681,4348,False
2015-08-24 09:32,2015-08-24,abs_return;sigma_return;bar_range,0.0322769,0.000933855,89.32,89.13,94,88.5,92.25,1.51456e+06,91.274,3825,False
2015-08-24 09:33,2015-08-24,bar_range,-0.00130166,0.00188479,92.25,92.25,92.3,88,92.13,975620,90.43,2761,False
2015-08-24 09:34,2015-08-24,bar_range,0.00950639,0.00188532,92.13,92.12,93.4,91.99,93.01,901098,92.667,3388,False
2015-08-24 09:35,2015-08-24,abs_return;sigma_return;bar_range,0.0201167,0.001945,93.01,93.06,94.9,92.57,94.9,768502,93.8,1804,False
2015-08-24 09:36,2015-08-24,abs_return;bar_range,0.0157862,0.00219476,94.9,94.66,96.43,94.47,96.41,1.27179e+06,95.948,1813,False
2015-09-01 09:31,2015-09-01,sigma_return,0.0047957,0.000595432,101.93,101.94,102.42,101.93,102.42,470879,102.223,2347,False
2015-09-17 14:00,2015-09-17,sigma_return,0.00316279,0.000340635,107.33,107.37,107.89,107.32,107.67,506915,107.678,1401,False
2015-10-28 14:00,2015-10-28,sigma_return,-0.00264411,0.000305212,113.61,113.59,113.62,113.29,113.31,455770,113.427,1314,False
2015-12-01 10:16,2015-12-01,sigma_return,-0.00314301,0.000300664,114.72,114.72,114.73,114.36,114.36,342889,114.542,1163,False
2015-12-16 14:00,2015-12-16,sigma_return,-0.00489042,0.000395766,112.74,112.7,112.71,111.89,112.19,401406,112.268,1212,False
2015-12-16 14:03,2015-12-16,sigma_return,0.00416575,0.000482029,112.59,112.59,113.07,112.59,113.06,343806,112.863,1114,False
2016-01-27 14:02,2016-01-27,sigma_return,-0.00517756,0.000572809,102.63,102.65,102.66,102,102.1,544687,102.269,1840,False
2016-02-24 09:45,2016-02-24,sigma_return,-0.00349006,0.000379988,100.46,100.45,100.45,100.1,100.11,269634,100.201,1138,False
2016-03-16 14:00,2016-03-16,sigma_return,0.00346199,0.00023141,106.69,106.7,107.18,106.7,107.06,356380,107.034,1097,False
2016-03-16 14:01,2016-03-16,sigma_return,0.00345005,0.000290273,107.06,107.07,107.44,107.06,107.43,458325,107.249,1132,False
2016-07-26 10:54,2016-07-26,sigma_return,-0.00237519,0.000202912,113.81,113.81,113.82,113.5,113.54,274445,113.641,728,False
2016-08-16 09:35,2016-08-16,sigma_return,-0.00144983,0.000152923,117.34,117.34,117.35,117.16,117.17,139376,117.255,389,False
2016-08-17 14:00,2016-08-17,sigma_return,-0.00188324,0.000229537,116.93,116.92,116.92,116.68,116.71,137458,116.782,498,False
2016-08-26 10:00,2016-08-26,sigma_return,-0.00222736,0.000252931,116.86,116.85,116.86,116.59,116.6,428031,116.686,1380,False
2016-09-21 14:24,2016-09-21,sigma_return,-0.0023844,0.00029805,117.57,117.58,117.58,117.29,117.29,344253,117.474,1226,False
2016-10-06 11:47,2016-10-06,sigma_return,0.00185466,0.000214351,118.51,118.51,118.73,118.51,118.73,136697,118.617,400,False
2016-10-11 09:50,2016-10-11,sigma_return,-0.00160101,0.000167227,118.77,118.76,118.77,118.57,118.58,132764,118.646,511,False
2016-10-20 09:39,2016-10-20,sigma_return,-0.0019597,0.000199238,117.48,117.47,117.48,117.24,117.25,184195,117.36,542,False
2016-11-09 09:31,2016-11-09,sigma_return,0.00609156,0.000285453,116.2,116.21,116.91,116.09,116.91,550448,116.594,2465,False
2016-12-14 14:00,2016-12-14,sigma_return,-0.00198758,0.000225851,120.87,120.87,120.87,120.58,120.63,237103,120.717,721,False
2016-12-14 14:02,2016-12-14,sigma_return,0.0020722,0.000251304,120.52,120.53,120.82,120.5,120.77,295118,120.645,682,False
2016-12-22 09:31,2016-12-22,sigma_return,-0.00141296,0.00017164,120.4,120.41,120.41,120.22,120.23,53324,120.332,206,False
2016-12-22 09:35,2016-12-22,sigma_return,-0.00149788,0.000184027,120.26,120.26,120.26,120.07,120.08,175485,120.175,404,False
2016-12-27 09:45,2016-12-27,sigma_return,0.00190201,0.000157746,120.81,120.82,121.05,120.82,121.04,270884,120.936,809,False
2016-12-27 09:47,2016-12-27,sigma_return,0.00181503,0.000185016,121.1,121.1,121.33,121.1,121.32,166313,121.232,500,False
2016-12-30 09:57,2016-12-30,sigma_return,-0.00243667,0.000254686,119.16,119.16,119.17,118.86,118.87,782078,119.011,1883,False
2017-01-30 09:44,2017-01-30,sigma_return,-0.00160346,0.000184196,124.83,124.83,124.87,124.63,124.63,386300,124.736,1197,False
2017-02-03 10:25,2017-02-03,sigma_return,0.00175062,0.000218293,125.56,125.57,125.8,125.57,125.78,293536,125.721,1027,False
2017-03-15 14:00,2017-03-15,sigma_return,0.00258182,0.000138618,131.52,131.55,131.86,131.53,131.86,1.02062e+06,131.742,2001,False
2017-05-31 09:49,2017-05-31,sigma_return,-0.00127208,0.000151194,141.59,141.59,141.59,141.38,141.41,254682,141.511,942,False
2017-06-09 14:49,2017-06-09,sigma_return,-0.00540367,0.000423973,139.17,139.17,139.22,138.41,138.42,1.19638e+06,138.77,3888,False
2017-08-02 10:27,2017-08-02,sigma_return,-0.00202394,0.000247588,143.43,143.43,143.43,143.08,143.14,345950,143.289,1147,False
2017-08-16 13:12,2017-08-16,sigma_return,-0.00207785,0.000207267,144.53,144.53,144.54,144.19,144.23,253146,144.348,903,False
2017-09-20 14:01,2017-09-20,sigma_return,-0.00234386,0.000225695,145.23,145.24,145.24,144.87,144.89,234010,145.014,839,False
2017-10-23 10:05,2017-10-23,sigma_return,-0.00141343,0.000149613,148.68,148.67,148.67,148.44,148.47,138555,148.528,519,False
2017-11-15 09:36,2017-11-15,sigma_return,-0.00236531,0.00028894,152.38,152.38,152.41,151.96,152.02,435692,152.175,1679,False
